"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
48,37,"BGR","Bulgaria",6,"Haskovo",48,"Simeonovgrad","Obshtina","Municipality","<U+0421><U+0438><U+043C><U+0435><U+043E><U+043D><U+043E><U+0432><U+0433><U+0440><U+0430><U+0434>",NA
49,37,"BGR","Bulgaria",6,"Haskovo",49,"Stambolovo","Obshtina","Municipality",NA,NA
50,37,"BGR","Bulgaria",6,"Haskovo",50,"Svilengrad","Obshtina","Municipality","<U+0421><U+0432><U+0438><U+043B><U+0435><U+043D><U+0433><U+0440><U+0430><U+0434>",NA
51,37,"BGR","Bulgaria",6,"Haskovo",51,"Topolovgrad","Obshtina","Municipality","<U+0422><U+043E><U+043F><U+043E><U+043B><U+043E><U+0432><U+0433><U+0440><U+0430><U+0434>",NA
52,37,"BGR","Bulgaria",7,"Kardzhali",52,"Ardino","Obshtina","Municipality","<U+0410><U+0440><U+0434><U+0438><U+043D><U+043E>","Egridere"
53,37,"BGR","Bulgaria",7,"Kardzhali",53,"Chernoochene","Obshtina","Municipality",NA,"Karagözler"
54,37,"BGR","Bulgaria",7,"Kardzhali",54,"Dzhebel","Obshtina","Municipality","<U+0414><U+0436><U+0435><U+0431><U+0435><U+043B>","Cebel)"
55,37,"BGR","Bulgaria",7,"Kardzhali",55,"Kardzhali","City","City","<U+041A><U+044A><U+0440><U+0434><U+0436><U+0430><U+043B><U+0438>","Kircaali"
56,37,"BGR","Bulgaria",7,"Kardzhali",56,"Kirkovo","Obshtina","Municipality","<U+041A><U+0438><U+0440><U+043A><U+043E><U+0432><U+043E>",NA
57,37,"BGR","Bulgaria",7,"Kardzhali",57,"Krumovgrad","Obshtina","Municipality","<U+041A><U+0440><U+0443><U+043C><U+043E><U+0432><U+0433><U+0440><U+0430><U+0434>","Kosukavak"
58,37,"BGR","Bulgaria",7,"Kardzhali",58,"Momchilgrad","Obshtina","Municipality","<U+041C><U+043E><U+043C><U+0447><U+0438><U+043B><U+0433><U+0440><U+0430><U+0434>","Mestanli"
59,37,"BGR","Bulgaria",7,"Kardzhali",59,"Skalna Glava","Obshtina","Municipality",NA,NA
60,37,"BGR","Bulgaria",8,"Kyustendil",60,"Boboshevo","Obshtina","Municipality","<U+0411><U+043E><U+0431><U+043E><U+0448><U+0435><U+0432><U+043E>",NA
61,37,"BGR","Bulgaria",8,"Kyustendil",61,"Bobovdol","Obshtina","Municipality","<U+0411><U+043E><U+0431><U+043E><U+0432> <U+0434><U+043E><U+043B>","Bobov Dol"
62,37,"BGR","Bulgaria",8,"Kyustendil",62,"Dupnitsa","Obshtina","Municipality","<U+0414><U+0443><U+043F><U+043D><U+0438><U+0446><U+0430>","Dupnitza|Dupnica"
63,37,"BGR","Bulgaria",8,"Kyustendil",63,"Kocherinovo","Obshtina","Municipality",NA,NA
64,37,"BGR","Bulgaria",8,"Kyustendil",64,"Kyustendil","City","City",NA,NA
65,37,"BGR","Bulgaria",8,"Kyustendil",65,"Nevestino","Obshtina","Municipality",NA,NA
66,37,"BGR","Bulgaria",8,"Kyustendil",66,"Rila","Obshtina","Municipality",NA,NA
67,37,"BGR","Bulgaria",8,"Kyustendil",67,"Sapareva Banya","Obshtina","Municipality","<U+0421><U+0430><U+043F><U+0430><U+0440><U+0435><U+0432><U+0430> <U+0431><U+0430><U+043D><U+044F>",NA
68,37,"BGR","Bulgaria",8,"Kyustendil",68,"Treklyano","Obshtina","Municipality",NA,NA
69,37,"BGR","Bulgaria",9,"Lovech",69,"Apriltsi","Obshtina","Municipality","<U+0410><U+043F><U+0440><U+0438><U+043B><U+0446><U+0438>",NA
70,37,"BGR","Bulgaria",9,"Lovech",70,"Letnitsa","Obshtina","Municipality",NA,NA
71,37,"BGR","Bulgaria",9,"Lovech",71,"Loukovit","Obshtina","Municipality","<U+041B><U+0443><U+043A><U+043E><U+0432><U+0438><U+0442>","Lukovit"
72,37,"BGR","Bulgaria",9,"Lovech",72,"Lovech","City","City","<U+041B><U+043E><U+0432><U+0435><U+0447>",NA
73,37,"BGR","Bulgaria",9,"Lovech",73,"Teteven","Obshtina","Municipality","<U+0422><U+0435><U+0442><U+0435><U+0432><U+0435><U+043D>",NA
74,37,"BGR","Bulgaria",9,"Lovech",74,"Troyan","Obshtina","Municipality","<U+0422><U+0440><U+043E><U+044F><U+043D>","Troian"
75,37,"BGR","Bulgaria",9,"Lovech",75,"Ugarchin","Obshtina","Municipality","<U+0423><U+0433><U+044A><U+0440><U+0447><U+0438><U+043D>","Ougarchin"
76,37,"BGR","Bulgaria",9,"Lovech",76,"Yablanitsa","Obshtina","Municipality","<U+042F><U+0431><U+043B><U+0430><U+043D><U+0438><U+0446><U+0430>","Jablanica| Lablanica| Yablanica| Jablanitsa| Lablanitsa| Jablanitza| Yablanitza| Lablanitza"
77,37,"BGR","Bulgaria",10,"Montana",77,"Berkovitsa","Obshtina","Municipality","<U+0411><U+0435><U+0440><U+043A><U+043E><U+0432><U+0438><U+0446><U+0430>",NA
78,37,"BGR","Bulgaria",10,"Montana",78,"Boichinovtsi","Obshtina","Municipality","<U+0411><U+043E><U+0439><U+0447><U+0438><U+043D><U+043E><U+0432><U+0446><U+0438>","Boychinovtsi"
79,37,"BGR","Bulgaria",10,"Montana",79,"Brusartsi","Obshtina","Municipality","<U+0411><U+0440><U+0443><U+0441><U+0430><U+0440><U+0446><U+0438>",NA
80,37,"BGR","Bulgaria",10,"Montana",80,"Chiprovtsi","Obshtina","Municipality","<U+0427><U+0438><U+043F><U+0440><U+043E><U+0432><U+0446><U+0438>",NA
81,37,"BGR","Bulgaria",10,"Montana",81,"Georgy Damyanovo","Obshtina","Municipality",NA,"Georgi Damyanovo"
82,37,"BGR","Bulgaria",10,"Montana",82,"Lom","Obshtina","Municipality","<U+041B><U+043E><U+043C>",NA
83,37,"BGR","Bulgaria",10,"Montana",83,"Medkovets","Obshtina","Municipality",NA,NA
84,37,"BGR","Bulgaria",10,"Montana",84,"Montana","City","City","<U+041C><U+043E><U+043D><U+0442><U+0430><U+043D><U+0430>",NA
85,37,"BGR","Bulgaria",10,"Montana",85,"Valchedram","Obshtina","Municipality",NA,NA
86,37,"BGR","Bulgaria",10,"Montana",86,"Varshets","Obshtina","Municipality","<U+0412><U+044A><U+0440><U+0448><U+0435><U+0446>",NA
87,37,"BGR","Bulgaria",10,"Montana",87,"Yakimovo","Obshtina","Municipality",NA,NA
88,37,"BGR","Bulgaria",11,"Pazardzhik",88,"Batak","Obshtina","Municipality","<U+0411><U+0430><U+0442><U+0430><U+043A>",NA
89,37,"BGR","Bulgaria",11,"Pazardzhik",89,"Belovo","Obshtina","Municipality","<U+0411><U+0435><U+043B><U+043E><U+0432><U+043E>",NA
90,37,"BGR","Bulgaria",11,"Pazardzhik",90,"Bratsigovo","Obshtina","Municipality","<U+0411><U+0440><U+0430><U+0446><U+0438><U+0433><U+043E><U+0432><U+043E>",NA
91,37,"BGR","Bulgaria",11,"Pazardzhik",91,"Lesichevo","Obshtina","Municipality",NA,"Lesichovo"
92,37,"BGR","Bulgaria",11,"Pazardzhik",92,"Panagyurishte","Obshtina","Municipality","<U+041F><U+0430><U+043D><U+0430><U+0433><U+044E><U+0440><U+0438><U+0449><U+0435>",NA
93,37,"BGR","Bulgaria",11,"Pazardzhik",93,"Pazardzhik","City","City","<U+041F><U+0430><U+0437><U+0430><U+0440><U+0434><U+0436><U+0438><U+043A>|","Pazardjik|Pazarjik"
94,37,"BGR","Bulgaria",11,"Pazardzhik",94,"Peshtera","Obshtina","Municipality","<U+041F><U+0435><U+0449><U+0435><U+0440><U+0430>",NA
95,37,"BGR","Bulgaria",11,"Pazardzhik",95,"Rakitovo","Obshtina","Municipality","<U+0420><U+0430><U+043A><U+0438><U+0442><U+043E><U+0432><U+043E>",NA
96,37,"BGR","Bulgaria",11,"Pazardzhik",96,"Septemvri","Obshtina","Municipality","<U+0421><U+0435><U+043F><U+0442><U+0435><U+043C><U+0432><U+0440><U+0438>",NA
97,37,"BGR","Bulgaria",11,"Pazardzhik",97,"Strelcha","Obshtina","Municipality","<U+0421><U+0442><U+0440><U+0435><U+043B><U+0447><U+0430>",NA
98,37,"BGR","Bulgaria",11,"Pazardzhik",98,"Velingrad","Obshtina","Municipality","<U+0412><U+0435><U+043B><U+0438><U+043D><U+0433><U+0440><U+0430><U+0434>",NA
99,37,"BGR","Bulgaria",12,"Pernik",99,"Breznik","Obshtina","Municipality","<U+0411><U+0440><U+0435><U+0437><U+043D><U+0438><U+043A>",NA
100,37,"BGR","Bulgaria",12,"Pernik",100,"Kovachevtsi","Obshtina","Municipality",NA,NA
101,37,"BGR","Bulgaria",12,"Pernik",101,"Pernik","City","City","<U+041F><U+0435><U+0440><U+043D><U+0438><U+043A>",NA
102,37,"BGR","Bulgaria",12,"Pernik",102,"Radomir","Obshtina","Municipality","<U+0420><U+0430><U+0434><U+043E><U+043C><U+0438><U+0440>",NA
103,37,"BGR","Bulgaria",12,"Pernik",103,"Tran","Obshtina","Municipality","<U+0422><U+0440><U+044A><U+043D>",NA
104,37,"BGR","Bulgaria",12,"Pernik",104,"Zemen","Obshtina","Municipality","<U+0417><U+0435><U+043C><U+0435><U+043D>",NA
105,37,"BGR","Bulgaria",13,"Pleven",105,"Belene","Obshtina","Municipality","<U+0411><U+0435><U+043B><U+0435><U+043D><U+0435>",NA
106,37,"BGR","Bulgaria",13,"Pleven",106,"Cherven Bryag","Obshtina","Municipality","<U+0427><U+0435><U+0440><U+0432><U+0435><U+043D> <U+0431><U+0440><U+044F><U+0433>",NA
107,37,"BGR","Bulgaria",13,"Pleven",107,"Dolna Mitropoliya","Obshtina","Municipality",NA,"Dolna Mutropolia"
108,37,"BGR","Bulgaria",13,"Pleven",108,"Dolni Dabnik","Obshtina","Municipality","<U+0414><U+043E><U+043B><U+043D><U+0438> <U+0414><U+044A><U+0431><U+043D><U+0438><U+043A>",NA
109,37,"BGR","Bulgaria",13,"Pleven",109,"Gulyantsi","Obshtina","Municipality",NA,NA
110,37,"BGR","Bulgaria",13,"Pleven",110,"Iskar","Obshtina","Municipality",NA,NA
111,37,"BGR","Bulgaria",13,"Pleven",111,"Knezha","Obshtina","Municipality","<U+041A><U+043D><U+0435><U+0436><U+0430>)",NA
112,37,"BGR","Bulgaria",13,"Pleven",112,"Levski","Obshtina","Municipality","<U+041B><U+0435><U+0432><U+0441><U+043A><U+0438>",NA
113,37,"BGR","Bulgaria",13,"Pleven",113,"Nikopol","Obshtina","Municipality","<U+041D><U+0438><U+043A><U+043E><U+043F><U+043E><U+043B>",NA
114,37,"BGR","Bulgaria",13,"Pleven",114,"Pleven","City","City","<U+041F><U+043B><U+0435><U+0432><U+0435><U+043D><U+0441><U+043A><U+0430>","Plevenska"
115,37,"BGR","Bulgaria",13,"Pleven",115,"Pordim","Obshtina","Municipality",NA,NA
116,37,"BGR","Bulgaria",14,"Plovdiv",116,"Asenovgrad","Obshtina","Municipality","<U+0410><U+0441><U+0435><U+043D><U+043E><U+0432><U+0433><U+0440><U+0430><U+0434>",NA
117,37,"BGR","Bulgaria",14,"Plovdiv",117,"Brezovo","Obshtina","Municipality","<U+0411><U+0440><U+0435><U+0437><U+043E><U+0432><U+043E>",NA
118,37,"BGR","Bulgaria",14,"Plovdiv",118,"Hisar","Obshtina","Municipality","<U+0425><U+0438><U+0441><U+0430><U+0440><U+044F>","Hisarya|Hissarya"
119,37,"BGR","Bulgaria",14,"Plovdiv",119,"Kaloyanovo","Obshtina","Municipality","<U+041A><U+0430><U+043B><U+043E><U+044F><U+043D><U+043E><U+0432><U+043E>",NA
120,37,"BGR","Bulgaria",14,"Plovdiv",120,"Karlovo","Obshtina","Municipality","<U+041A><U+0430><U+0440><U+043B><U+043E><U+0432><U+043E>",NA
121,37,"BGR","Bulgaria",14,"Plovdiv",121,"Krichim","Obshtina","Municipality","<U+041A><U+0440><U+0438><U+0447><U+0438><U+043C>",NA
122,37,"BGR","Bulgaria",14,"Plovdiv",122,"Laki","Obshtina","Municipality","<U+041B><U+044A><U+043A><U+0438>",NA
123,37,"BGR","Bulgaria",14,"Plovdiv",123,"Maritsa","Obshtina","Municipality",NA,NA
124,37,"BGR","Bulgaria",14,"Plovdiv",124,"Parvomay","Obshtina","Municipality",NA,NA
125,37,"BGR","Bulgaria",14,"Plovdiv",125,"Perushtitsa","Obshtina","Municipality","<U+041F><U+0435><U+0440><U+0443><U+0449><U+0438><U+0446><U+0430>",NA
126,37,"BGR","Bulgaria",14,"Plovdiv",126,"Plovdiv","City","City","<U+041F><U+043B><U+043E><U+0432><U+0434><U+0438><U+0432>",NA
127,37,"BGR","Bulgaria",14,"Plovdiv",127,"Rakovski","Obshtina","Municipality","<U+0420><U+0430><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438>",NA
128,37,"BGR","Bulgaria",14,"Plovdiv",128,"Rodopi","Obshtina","Municipality",NA,NA
129,37,"BGR","Bulgaria",14,"Plovdiv",129,"Sadovo","Obshtina","Municipality","<U+0421><U+0430><U+0434><U+043E><U+0432><U+043E>",NA
130,37,"BGR","Bulgaria",14,"Plovdiv",130,"Saedinenie","Obshtina","Municipality","<U+041E><U+0431><U+0449><U+0438><U+043D><U+0430> <U+0421><U+044A><U+0435><U+0434><U+0438><U+043D><U+0435><U+043D><U+0438><U+0435>",NA
131,37,"BGR","Bulgaria",14,"Plovdiv",131,"Stamboliyski","Obshtina","Municipality","<U+0421><U+0442><U+0430><U+043C><U+0431><U+043E><U+043B><U+0438><U+0439><U+0441><U+043A><U+0438>",NA
132,37,"BGR","Bulgaria",15,"Razgrad",132,"Isperih","Obshtina","Municipality","<U+0418><U+0441><U+043F><U+0435><U+0440><U+0438><U+0445>","Kemallar"
133,37,"BGR","Bulgaria",15,"Razgrad",133,"Kubrat","Obshtina","Municipality","<U+041A><U+0443><U+0431><U+0440><U+0430><U+0442>","Balbunar"
134,37,"BGR","Bulgaria",15,"Razgrad",134,"Loznitsa","Obshtina","Municipality",NA,NA
135,37,"BGR","Bulgaria",15,"Razgrad",135,"Razgrad","City","City","<U+0420><U+0430><U+0437><U+0433><U+0440><U+0430><U+0434>",NA
136,37,"BGR","Bulgaria",15,"Razgrad",136,"Samuil","Obshtina","Municipality",NA,NA
137,37,"BGR","Bulgaria",15,"Razgrad",137,"Tsar Kaloyan","Obshtina","Municipality","<U+0426><U+0430><U+0440> <U+041A><U+0430><U+043B><U+043E><U+044F><U+043D>",NA
138,37,"BGR","Bulgaria",15,"Razgrad",138,"Zavet","Obshtina","Municipality","<U+0417><U+0430><U+0432><U+0435><U+0442>",NA
139,37,"BGR","Bulgaria",16,"Ruse",139,"Borovo","Obshtina","Municipality","<U+0411><U+043E><U+0440><U+043E><U+0432><U+043E>",NA
140,37,"BGR","Bulgaria",16,"Ruse",140,"Byala","Obshtina","Municipality","<U+0411><U+044F><U+043B><U+0430>",NA
141,37,"BGR","Bulgaria",16,"Ruse",141,"Dve Mogili","Obshtina","Municipality",NA,NA
142,37,"BGR","Bulgaria",16,"Ruse",142,"Ivanovo","Obshtina","Municipality","<U+0418><U+0432><U+0430>´<U+043D><U+043E><U+0432><U+043E>",NA
143,37,"BGR","Bulgaria",16,"Ruse",143,"Rousse","City","City","<U+0420><U+0443><U+0441><U+0435><U+043D><U+0441><U+043A><U+0430>","Ruse|Russe"
144,37,"BGR","Bulgaria",16,"Ruse",144,"Slivo Pole","Obshtina","Municipality",NA,NA
145,37,"BGR","Bulgaria",16,"Ruse",145,"Tsenovo","Obshtina","Municipality",NA,NA
146,37,"BGR","Bulgaria",16,"Ruse",146,"Vetovo","Obshtina","Municipality",NA,NA
147,37,"BGR","Bulgaria",17,"Shumen",147,"Gara Hitrino","Obshtina","Municipality",NA,"Hitrino"
148,37,"BGR","Bulgaria",17,"Shumen",148,"Kaolinovo","Obshtina","Municipality",NA,NA
149,37,"BGR","Bulgaria",17,"Shumen",149,"Kaspichan","Obshtina","Municipality","<U+041A><U+0430><U+0441><U+043F><U+0438><U+0447><U+0430><U+043D>",NA
150,37,"BGR","Bulgaria",17,"Shumen",150,"Nikola Kozlevo","Obshtina","Municipality",NA,NA
151,37,"BGR","Bulgaria",17,"Shumen",151,"Novi Pazar","Obshtina","Municipality","<U+041D><U+043E><U+0432><U+0438> <U+043F><U+0430><U+0437><U+0430><U+0440>",NA
152,37,"BGR","Bulgaria",17,"Shumen",152,"Preslav","Obshtina","Municipality","<U+041F><U+0440><U+0435><U+0441><U+043B><U+0430><U+0432>","Veliki Preslav"
153,37,"BGR","Bulgaria",17,"Shumen",153,"Shumen","City","City","<U+0428><U+0443><U+043C><U+0435><U+043D>","Kolarovgrad|Sumnu"
154,37,"BGR","Bulgaria",17,"Shumen",154,"Smyadovo","Obshtina","Municipality",NA,NA
155,37,"BGR","Bulgaria",17,"Shumen",155,"Varbitsa","Obshtina","Municipality","<U+0412><U+044A><U+0440><U+0431><U+0438><U+0446><U+0430>",NA
156,37,"BGR","Bulgaria",17,"Shumen",156,"Venets","Obshtina","Municipality",NA,NA
157,37,"BGR","Bulgaria",18,"Silistra",157,"Alfatar","Obshtina","Municipality","<U+0410><U+043B><U+0444><U+0430><U+0442><U+0430><U+0440>",NA
158,37,"BGR","Bulgaria",18,"Silistra",158,"Dulovo","Obshtina","Municipality","<U+0414><U+0443><U+043B><U+043E><U+0432><U+043E>","Accadânalar|Akkadinlar"
159,37,"BGR","Bulgaria",18,"Silistra",159,"Glavinitsa","Obshtina","Municipality",NA,NA
160,37,"BGR","Bulgaria",18,"Silistra",160,"Kainardzha","Obshtina","Municipality",NA,"Kaynardzha"
161,37,"BGR","Bulgaria",18,"Silistra",161,"Silistra","City","City","<U+0421><U+0438><U+043B><U+0438><U+0441><U+0442><U+0440><U+0430>",NA
162,37,"BGR","Bulgaria",18,"Silistra",162,"Sitovo","Obshtina","Municipality",NA,NA
163,37,"BGR","Bulgaria",18,"Silistra",163,"Tutrakan","Obshtina","Municipality","<U+0422><U+0443><U+0442><U+0440><U+0430><U+043A><U+0430><U+043D>","Turtucaia"
164,37,"BGR","Bulgaria",19,"Sliven",164,"Kotel","Obshtina","Municipality","<U+041A><U+043E><U+0442><U+0435><U+043B>",NA
165,37,"BGR","Bulgaria",19,"Sliven",165,"Nova Zagora","Obshtina","Municipality","<U+041D><U+043E><U+0432><U+0430> <U+0417><U+0430><U+0433><U+043E><U+0440><U+0430>",NA
166,37,"BGR","Bulgaria",19,"Sliven",166,"Sliven","City","City","<U+0421><U+043B><U+0438><U+0432><U+0435><U+043D>",NA
167,37,"BGR","Bulgaria",19,"Sliven",167,"Tvarditsa","Obshtina","Municipality","<U+0422><U+0432><U+044A><U+0440><U+0434><U+0438><U+0446><U+0430>",NA
168,37,"BGR","Bulgaria",20,"Smolyan",168,"Banite","Obshtina","Municipality","<U+0411><U+0430><U+043D><U+0438><U+0442><U+0435>",NA
169,37,"BGR","Bulgaria",20,"Smolyan",169,"Borino","Obshtina","Municipality",NA,NA
170,37,"BGR","Bulgaria",20,"Smolyan",170,"Chepelare","Obshtina","Municipality","<U+0427><U+0435><U+043F><U+0435><U+043B><U+0430><U+0440><U+0435>",NA
171,37,"BGR","Bulgaria",20,"Smolyan",171,"Devin","Obshtina","Municipality","<U+0414><U+0435><U+0432><U+0438><U+043D>",NA
172,37,"BGR","Bulgaria",20,"Smolyan",172,"Dospat","Obshtina","Municipality","<U+0414><U+043E><U+0441><U+043F><U+0430><U+0442>",NA
173,37,"BGR","Bulgaria",20,"Smolyan",173,"Madan","Obshtina","Municipality","<U+041C><U+0430><U+0434><U+0430><U+043D>",NA
