"1.1. Europaparlamentsvalen 1996-2014, uppgifter om röstning"

"Område","År","Valdeltagande Kön totalt"
"475 Malax","2014",50.3
"499 Korsholm","2014",50.1
"545 Närpes","2014",45.8
"584 Perho","2014",30.6
"598 Jakobstad","2014",43.8
"599 Pedersöre","2014",60.8
"743 Seinäjoki","2014",36.9
"544 Nurmo","2014",-
"589 Peräseinäjoki","2014",-
"975 Ylistaro","2014",-
"759 Soini","2014",32.3
"846 Östermark","2014",41.6
"849 Toholampi","2014",36.3
"893 Nykarleby","2014",50.7
"905 Vasa","2014",40.4
"942 Lillkyro","2014",-
"924 Vetil","2014",34.8
"934 Vimpeli","2014",35.6
"946 Vörå","2014",47.9
"479 Maxmo","2014",-
"559 Oravais","2014",-
"944 Vörå","2014",-
"945 Vörå-Maxmo","2014",-
"989 Etseri","2014",30.7
"13 Mellersta Finlands valkrets","2014",36.3
"077 Hankasalmi","2014",34.6
"172 Joutsa","2014",36.9
"415 Leivonmäki","2014",-
"179 Jyväskylä","2014",38.2
"180 Jyväskylä lk","2014",-
"277 Korpilahti","2014",-
"182 Jämsä","2014",33.2
"183 Jämsänkoski","2014",-
"299 Kuorevesi","2014",-
"443 Längelmäki","2014",-
"216 Kannonkoski","2014",33.9
"226 Karstula","2014",32.2
"249 Keuruu","2014",35.7
"256 Kinnula","2014",32.2
"265 Kivijärvi","2014",33.4
"275 Konnevesi","2014",34.5
"291 Kuhmoinen","2014",37.8
"312 Kyyjärvi","2014",30.8
"410 Laukaa","2014",35.4
"435 Luhanka","2014",47.4
"495 Multia","2014",34.5
"500 Muurame","2014",39.7
"592 Petäjävesi","2014",36.9
"601 Pihtipudas","2014",30.5
"729 Saarijärvi","2014",32.9
"633 Pylkönmäki","2014",-
"850 Toivakka","2014",37.1
"892 Uurainen","2014",37.7
"931 Viitasaari","2014",33.5
"992 Äänekoski","2014",32.6
"770 Sumiainen","2014",-
"774 Suolahti","2014",-
"14 Uleåborgs valkrets","2014",35.7
"009 Alavieska","2014",36.8
"069 Haapajärvi","2014",29.4
"071 Haapavesi","2014",33.0
"072 Karlö","2014",44.2
"105 Hyrynsalmi","2014",30.0
"139 Ii","2014",35.8
"292 Kuivaniemi","2014",-
"205 Kajana","2014",35.0
"940 Vuolijoki","2014",-
"208 Kalajoki","2014",37.4
"095 Himanka","2014",-
"244 Kempele","2014",37.9
"290 Kuhmo","2014",31.7
"305 Kuusamo","2014",33.9
"317 Kärsämäki","2014",34.3
"425 Limingo","2014",36.2
"436 Lumijoki","2014",36.2
"483 Merijärvi","2014",37.2
"494 Muhos","2014",35.0
"535 Nivala","2014",33.0
"563 Oulainen","2014",34.9
"564 Uleåborg","2014",38.0
"084 Haukipudas","2014",-
"255 Kiiminki","2014",-
"567 Oulunsalo","2014",-
"972 Yli-Ii","2014",-
"973 Ylikiiminki","2014",-
"578 Paltamo","2014",33.7
"615 Pudasjärvi","2014",31.1
"620 Puolanka","2014",33.1
"625 Pyhäjoki","2014",36.0
"626 Pyhäjärvi","2014",32.1
"630 Pyhäntä","2014",35.7
"678 Brahestad","2014",33.7
"582 Pattijoki","2014",-
"926 Vihanti","2014",-
"691 Reisjärvi","2014",33.8
"697 Ristijärvi","2014",34.8
"746 Sievi","2014",33.0
"748 Siikajoki","2014",36.5
"708 Ruukki","2014",-
"765 Sotkamo","2014",32.1
"777 Suomussalmi","2014",34.7
"785 Vaala","2014",33.8
"791 Siikalatva","2014",32.6
"247 Kestilä","2014",-
"603 Piippola","2014",-
"617 Pulkkila","2014",-
"682 Rantsila","2014",-
"832 Taivalkoski","2014",36.7
"859 Tyrnävä","2014",37.0
"841 Temmes","2014",-
"889 Utajärvi","2014",35.6
"977 Ylivieska","2014",30.6
"15 Lapplands valkrets","2014",33.6
"047 Enontekis","2014",32.3
"148 Enare","2014",34.1
"240 Kemi","2014",31.1
"241 Keminmaa","2014",37.4
"261 Kittilä","2014",35.5
"273 Kolari","2014",35.1
"320 Kemijärvi","2014",33.5
"498 Muonio","2014",32.0
"583 Pelkosenniemi","2014",32.2
"614 Posio","2014",32.7
"683 Ranua","2014",31.7
"698 Rovaniemi","2014",34.1
"699 Rovaniemi lk","2014",-
"732 Salla","2014",29.5
"742 Savukoski","2014",40.9
"751 Simo","2014",37.6
"758 Sodankylä","2014",34.5
"845 Tervola","2014",35.6
"851 Torneå","2014",31.0
"854 Pello","2014",38.5
"890 Utsjoki","2014",39.7
"976 Övertorneå","2014",33.6
"05 Ålands valkrets","2014",46.6
"035 Brändö","2014",42.4
"043 Eckerö","2014",46.7
"060 Finström","2014",46.5
"062 Föglö","2014",42.3
"065 Geta","2014",44.0
"076 Hammarland","2014",46.8
"170 Jomala","2014",49.8
"295 Kumlinge","2014",37.7
"318 Kökar","2014",43.9
"417 Lemland","2014",49.1
"438 Lumparland","2014",56.7
"478 Mariehamn","2014",45.8
"736 Saltvik","2014",45.0
"766 Sottunga","2014",50.0
"771 Sund","2014",46.4
"941 Vårdö","2014",54.6
